,ID,Popularity,Duration
"Mere Sapnon Ki Rani (From ""Aradhana"")",3cWgUwwFeydGWc5vLjr5UC,37.0,300640.0
Pachai Nirame,6LgkoexFvjZ5V9qG8mYV3l,42.0,358626.0
"Waada Raha Sanam (From ""Khiladi"")",3SwkKcpCModXgfYCFn67CA,57.0,367934.0
Abhi Na Jao Chhod Kar,2oaKoKA8bvgWfBi9M8wEVJ,38.0,258386.0
Tumse Hi Tumse,6qNyL8lZuqFmy9ginJRQOZ,53.0,261559.0
"Mera Dil Bhi Kitna Pagal Hai (From ""Saajan"")",5doN1AbRIHIgpGMtRAjqRn,58.0,324893.0
Taal Se Taal,1s2BVgfna5AW7LCw9rf02r,52.0,378026.0
Hangover,0mboVyI4R4MPH23yceAMz3,53.0,375551.0
Khabar Nahi,7Esjmr77c4SU5IlMtym7Ho,50.0,259120.0
Nijanga Nenena,5haAVKCKAfb7IYLplcao0h,55.0,319164.0
"Humen Tumse Pyar Kitna (From ""Kudrat"") - Male Vocals",1o9XGfmelBzG1mlTRs1OLI,38.0,241026.0
Dhan Te Nan,2BOY77LvMTUOfLcnfFAJGl,53.0,279933.0
"Likhe Jo Khat Tujhe (From ""Kanyadaan"")",2QduffmP1CwjJ6kAA5hkUk,39.0,273533.0
O Madhu,1VDDoa82Oktn7FDPKBcsw8,51.0,243168.0
"Ye Ishq Hai (From ""Jab We Met"")",1UHVj0W8BRn08AXvWcv8i6,45.0,280974.0
Muskurane - Romantic,6fW78cd0p3ZDUzoqvx2Xqe,57.0,334331.0
Inka Edho,0WM0NpFIZg6JhgneUyU5tl,55.0,315493.0
"Yelelo Yelelo (From ""Shaakuntalam"") [Hindi]",0ntvvoFr35bhhfmaimI8ha,42.0,355151.0
Main Pal Do Pal Ka Shair Hoon,3P30d9Ayuy7IW88RvAvFMl,38.0,204040.0
"Bhaag D.K. Bose, Aandhi Aayi",1sxh0eqIb8ulYypPuq6ZRu,54.0,241304.0
Nashe Si Chadh Gayi,2EKXTA9QxkW6XeQ2uEeIii,46.0,238288.0
"Dil Mein Ho Tum (From ""Cheat India"")",1mjWhM7GQTTxJxg2F0iCRS,58.0,326765.0
Gal Ban Gayi,5RHUlxtZy1CeR4mGFftLoF,51.0,254788.0
Dilliwaali Girlfriend,6p56DuuwZQYSNgeB7fgRkZ,43.0,260552.0
Jhoom,2VR1z4g6haFyMoghNj46KB,53.0,389213.0
Song: Silsila Ye Chahat Ka,5n7KWx7UkcKJUB8GvJCYqj,39.0,240706.0
"Gulabi Ankhen - From ""The Train""",4Rma5TtiGF1EFCK2gVchvz,34.0,197293.0
Hey Shona,2H9SvhMVXSYPxxkQgzkTKp,50.0,319294.0
Maana Ke Hum Yaar Nahin,1O3WfEwaSpsgZ6tw8jNT8I,58.0,264614.0
Dum Dum,788Lp6lHrCrxJAZvS2l9YZ,46.0,310987.0
Ranjha,0v77QqHiZUvfJkCk2rGRqw,60.0,228855.0
Locha-E-Ulfat,3V3QbgrOZKtFv5MXzAAdZr,51.0,288462.0
"Chhupana Bhi Nahin Aata (From ""Baazigar"")",2oAy8P7WfjbZW0cWw6RnAG,57.0,322066.0
Aisi Gehraiyaan Aisi Tanhaiyaan,2lzP5CLvqGvpz1zNJukSgD,50.0,88978.0
Evanda Enakku Custody,64NPSUK9QT49jEDKl3FK1a,54.0,212857.0
Ae Kash Ke Hum,1qyib2Wb5YTbNzZi7QMhEY,59.0,310426.0
Mundhinam,1n5gnI3Wue9WBpYFOIQNh1,62.0,341386.0
"Ajib Dastan Hai Yeh (From ""Dil Apna Aur Preet Parai"")",5VGNtow5pqQXFa0a1QAIBb,38.0,315613.0
"Maine Poochha Chand Se - From ""Abdullah""",04J2Dr9eCcyFeMUAq3YnFg,33.0,307373.0
Ghoomar,3vJidBra6TBhO022fk6h8b,49.0,282007.0
Jhalak Dikhla Ja,43SKg10CCeaoyr7XSKfpTR,56.0,317560.0
Manchala,3zAXHUL5YcYOA41rruvjy4,57.0,227506.0
Mamakutty,7FsAdgPI7Q9hATDOoyErm6,59.0,145600.0
Teri Mitti,3PAC15iDIHk7IWD8ShSgWh,56.0,313999.0
Jhoom Barabar Jhoom,4HfmI5Yisll9PCOjJhtijw,47.0,425613.0
Bhula Dena,0WNCYgCd33LnBnw22WFuq8,59.0,240723.0
Dhadak Title Track,6Gx3Ry4ORogdMibbdITOuN,56.0,243484.0
Shubhaarambh,6qGCJLF0V7SuHTOOGUcDsv,51.0,234093.0
Poovukkul,4g9VvOS1WpFp2FZVSzvIZA,57.0,413425.0
Tere Bin,3DpedytYku64Hjf51064vO,54.0,275986.0
Baarish Mein Tum,4xA7TokHI9HTapV4wO3W5I,62.0,227091.0
Kangal Irandal,3IpEJ86hrMfUcoXCk9U4h3,60.0,322013.0
"Sochenge Tumhe Pyar (From ""Deewana"")",00wU6YKnzNlavZ1TPpLUlp,61.0,362888.0
Gori Gori Gori Gori,4RtvAfvD8lgqqBnojwaDI8,50.0,268800.0
O Rangrez,5JCDVLwteSXuwVqjCa7SwH,55.0,385000.0
Hum Tum,6YRbDkyTzsizAWFz8kwiI7,59.0,329221.0
Peaches (feat. Anne-Marie),6oEAcSY98NPIgD9UumQwIg,54.0,189882.0
Bakhuda Tumhi Ho,0h73AwuEY2x44cBMOP58fO,57.0,292493.0
"Tera Hua (From ""Loveyatri"")",3zqFsowz5iGbYIxZW5KlKw,56.0,214002.0
"Sapna Jahan (From ""Brothers"")",6uQkoo1UGWThtEpNEYc6Ga,59.0,341780.0
Dil Maang Raha Hai,7h24KIgBhiyzbYnxsGzevk,62.0,193333.0
Teri Deewani,2iNqdCchlUZEgjJbQyZf8T,58.0,323520.0
