,ID,Popularity,Duration
Closer Than This,2RLTylLfA7jaZQg6ddkbp3,35.0,208360.0
Life In One Day,7j7LeOIVvfa3FB8m83unIU,35.0,221226.0
Stay on These Roads,2ejkRnZWPACfuqr06gFw1w,57.0,284053.0
Sweet Dreams (Are Made of This),5CVu3KNcmHjYrdjXXVXR7g,36.0,293133.0
Summer Thing - Les Bisous Remix,4STYgoq9U6kbLkyAOCSOno,46.0,154634.0
Constant Surprises,1hLMDoAaoCTGi9MTYIU22W,40.0,273546.0
Fire In The Twilight,09dw3Eg338pt0G0UmgKtNX,38.0,231333.0
Face Up,4GnmHHDZqno45MI3gTm5fw,35.0,248957.0
Good For Your Soul,1V2ZooMGQNlBoHPIvNxAik,35.0,196160.0
Come Undone,5VnKWH0QvC4u9ridOIFwCC,39.0,177534.0
Strong - Instrumental,68z36ZU2RgiB9VyafaBrqV,38.0,320306.0
Voodoo?,4Ni2AUpC7d4M7nFMa3oquY,41.0,255746.0
Power of Love,431HgPSwQBZOtcEnAFMDyM,46.0,325253.0
Young Again,2PyDeNcULEWKlq23nAMcbN,42.0,324000.0
Enfance 80,1sKt4HswC1nmkjuhhG0KFt,45.0,222654.0
Hungry Like the Wolf,5pIaAkHJ928V2LGCz79FgQ,38.0,209546.0
Easy - Music From The Motion Picture Baby Driver,6D9784CzwRHlnIHdtjsBME,33.0,267573.0
Slumlord,6O1G9pwLEidT5QTjuZw3tL,34.0,315595.0
Missionary Man,1LgZRmGoSyiOOWxjTjMJy0,42.0,267946.0
Missionary Man,1LgZRmGoSyiOOWxjTjMJy0,42.0,267946.0
Gang,4nMEzMTIfUVlhZzuP2Em5V,46.0,277442.0
Stay Over,3iOK7EbYFLtQyz9jwKIw88,39.0,189191.0
The Things That Dreams Are Made Of - 2002 Mix,5GLYtND9tYHCEdIQ1i1JH3,42.0,257866.0
Fou,7eAp3ZgBPzmXo0bwnmFELp,44.0,309586.0
Coconut Kiss,6biZQG0bzClj6NrkBUmNJm,40.0,261269.0
Make Them Gold,2O5hXsChIEfN8KL45V5py0,33.0,231760.0
Ain’t Your Right,2bunWQerOZ16R4iWR4PGMt,33.0,201946.0
Stranger Love,5TwUyeC78le23W2PM13B8c,40.0,349043.0
We Close Our Eyes,3YM1AO8LoDMS4LpfNCkicr,37.0,218906.0
She Wants To Dance With Me,40GPRs5W6SAXCcyLNPw7O1,47.0,196440.0
Just Drive,2rQbDCtrX3H3cGwqH3JmPv,38.0,248000.0
