,ID,Popularity,Duration
三十日,6MVmMCbQpPvftqbLzvOzU8,36.0,238160.0
隔離 - Studio Live Duet,4xL01OuFjqizPDclF8gDpl,42.0,248382.0
自作多情,2Gp9DMkBOmNWc4rAgxFSBn,31.0,319626.0
蟲兒飛,5w7phAagT5n3Ju5PNnZMWI,34.0,99026.0
每一句說話,3LAyqdaChqG2Vb32qQgE0l,36.0,259333.0
歡樂今宵,189r6rbHTV8GwbIshCP5fJ,37.0,224333.0
寂寞的戀人啊,58lUqo0C6fVraE6vwR1GzJ,36.0,248360.0
直到你不找我,3yWxXhTPjAUV7utUy114Ek,33.0,248746.0
八點零五分,5CoYuqXOp6ls2SzSsHCBM4,33.0,152812.0
Overkill,1Gjmwy8JhscqBBh5DUdzGv,43.0,198317.0
你是我的女人,739doXp5dMev4SprLgpoLZ,33.0,296533.0
想和你去吹吹風,0Chhk7TNhfQX0MG58UeTae,35.0,289000.0
九龍公園游泳池,15HvSoZZQfbOlJ2UAM69Vx,33.0,159596.0
驗傷,584dXuCRxf0IUXRDnn1Q8u,35.0,227715.0
對你太在乎,4ZqFYFlIr8vi7HGhb5MgSm,35.0,224933.0
"當年情 - 電影 ""英雄本色"" 主題曲",6fsFfNwxvbLDwkaSH9Bi11,30.0,253746.0
報復式浪漫,6N47H7GFm8SBwdJMkS9sqj,41.0,204772.0
明知故犯,6HfQG7iIZgS9oAkeKyRtN8,38.0,265907.0
巴士光年,0ub1bABgM7pZkqermYUrNp,42.0,230437.0
獻世,68fg33KDa5yeJ5zLkISfzv,34.0,267506.0
"到此一遊 - 劇集 ""降魔的"" 主題曲",57kbuHAxIrN3CCysKVMG93,35.0,209786.0
夏之風物詩,0u3En4cJMAjcIQ6zLIlmqY,45.0,208636.0
暗裡著迷 - 粵,5CPHjDk6jPAWZuaE9aCg0F,32.0,228840.0
長相廝守,44TjgDPUGUqU3ylA8tBkVf,40.0,273332.0
重複犯錯,4qF2h27u26uzsdbaw5oVHW,36.0,205480.0
深愛著你,1cFEi8mBVH44z5aVol1ZAN,34.0,263226.0
?,3SJoWZNCB5z0gn3q3sXUVj,2.0,242533.0
勿念,7jo1ash37IUB5NyviV7ajO,44.0,206117.0
談情說愛,5sjsD76ubVVKips1fUdKU9,34.0,249000.0
紅噹噹飛吻,6R0JKrYdsS3wk84JM8B1Nw,34.0,238238.0
掉進海的眼淚,14E27fUMTIrhQtOxMWP0py,43.0,239248.0
別問我是誰,3dOgVm6PGD02LgoZNabeow,36.0,300840.0
接近,3NdqvaQ0VhUPTNa5NYF13G,33.0,260973.0
M O N I C A,3N0euXIVCohWBV5zjCN8R8,34.0,231320.0
綿綿,5nmjm9NgkV7jWrkui84bBZ,35.0,244066.0
山旮旯,6vLeClPziJQ3Z0wifEzMYe,40.0,267343.0
Wish - (劇集《白色強人II》插曲),3J536NydeSVS9qVueqgOBl,38.0,176923.0
我的親愛,2LUgYxkR1cJa7TPVz9oY9W,23.0,257333.0
迷魂記 - 廣東版,4FJHYzYff7FCmOohPXNsID,34.0,249133.0
末日快車,2WTRgaLFAuv8yNJYXV5FYN,35.0,306924.0
下流社會,7Hg4q2LtepCcPQheOWcUFj,44.0,242000.0
Children Song,5CamFNiR231zWyRQDDIRRr,41.0,348984.0
