,ID,Popularity,Duration
Siren,4xb8JHIN56xixSl6vkSPjm,59.0,200266.0
"Portland, Maine",12niARgkwxGsklcEwh6GlG,62.0,203869.0
You're Not Welcome,6CeqNn17M6HjcHJpr6XkCh,58.0,150819.0
Opera House,0syIc2ocYBIKASFqifvwRz,57.0,364680.0
Coastin’,1IjeGPU5hqHlJpm00zObN7,59.0,175319.0
Binz,7yvdp8dqmxExSJwT2fn6Xq,60.0,111226.0
Into The Ocean,2SiqlgLMfKQbczSMRp8drY,55.0,239946.0
Nosebleed Seats,3zREOGri6ic2vk6Dt2NJWk,59.0,161773.0
Song About You,48f7LOHWir3VQoO06yoc95,57.0,158948.0
Heaven or Las Vegas,0AxZUYeQ9bZwSdt1LmZuok,60.0,298400.0
Televisions,6KLryqTzWSb2arerRgw0r0,57.0,156107.0
Real Men,1BkQ2tVHP4VATMyuu7KU8Z,60.0,161800.0
Sidelines,4SKvKJaqkRl1bUZWEqTYzl,59.0,264372.0
The Main Character,54A4aGA5rmDBJqD2yFAgJI,58.0,265145.0
say im ur luv,0Bs3Lwzs8y9BzKUgvFXPUx,59.0,151906.0
Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,69.0,225786.0
Spin Me Around,3WOZcIibmurJult4Z7Wfce,57.0,146973.0
Bartender,15KQVjPyI2xcs6NEyfSphH,38.0,176813.0
Common (with Big Sean),2CJc3U1pViZ5E44pA0f2YI,57.0,159322.0
Dirty Imbecile,6g8A1grHgFW7rqi7hIrIJb,57.0,239612.0
stacy's brother,7aTXnk6qGF8d4pZ51zDcaQ,62.0,182400.0
Empress,4xWqRo8GPwMQ02LjiaX4D8,58.0,199742.0
Lost in You,5BIY4jMiYsp5QKKE05AXUF,59.0,101000.0
Daughter of a Cop,5cct9ToyRPLyfELg3JfWqx,58.0,153440.0
Middle Finger,0IK8y0vAO0sM630HsxwLht,62.0,229986.0
didya think,4HOg84QsolNLzNp08qZ3sX,55.0,200466.0
Rolling Stone,5o9h7ySWPqcPrNWhS0EDHu,58.0,117287.0
Blue Ridge Mountains,7bzzC7QIfflM9eEj2aqaYX,55.0,265773.0
You & Jennifer,0g21KZ1XJuhwexWPLpuEt1,59.0,159453.0
