,ID,Popularity,Duration
Smothered In Hugs,0491EjDNDRRwo9mBCsLaAX,31.0,180000.0
...While You're Alive,6X7MV3eAW5xeBXdaX6tOdC,32.0,113710.0
Disappear,0Ccrwow3ZPs4XBawO8fUcp,33.0,195773.0
Slit Skirts,0G77xJWRun3Yr7ek2482Ph,33.0,293240.0
The Dwarves Are Still The Best Band Ever,03QblNa20RzV47y7C2RnOr,34.0,103253.0
I Was A Fool,4vRf8lasPrZOytGizPT06B,30.0,213173.0
Even Here We Are,5WSS1ENUHOnDfJEcSOiuJa,32.0,101773.0
Blood Bath At Burger King,30OBhmqPtOEVH6ocDz7RHG,34.0,147613.0
Heart Shaped Guitar,4OyJDGOlkk5AcwKhOeXXuH,31.0,166026.0
Achin' to Be - 2008 Remaster,64PR170d8obrCvd2fEWd8z,32.0,222333.0
Malibu Love Nest,4OqkI9cMWdXvDDgkpcIQgZ,32.0,271506.0
All Of My Cryin',0ZX6xWNZGs318KhSRZ4jRO,31.0,149853.0
Waiting On You,3ovTVlWIAzB1XGG8dWPtFl,32.0,251160.0
Get Off On The Pain,5oWzBP3dXNtRseys30OaJB,33.0,211902.0
Blue Like Jazz,2fsk4MZ7vl6qDI9doCE0aV,32.0,192794.0
Falling For You,4rZqenX056M2jcl5vHgy6F,32.0,228786.0
Start Choppin - 2019 Remaster,6Rl7bI0f22xipMeYxZaSU7,35.0,338253.0
1015,049UFQryU07rpFmQzL3X8D,31.0,154954.0
You Deserve Love,6LLeQzvrPXcv4EOUW41aui,31.0,157226.0
The Whip,2xpu2799GTykq0nKP1jp57,31.0,185783.0
Castanets,13ZPqXux8XaJeDBM4rCcBo,32.0,207840.0
Magic,7pMD8YXl2VTPStgP5g1EuC,34.0,239626.0
Tastes Like Pain,4uiPJnPimQei5dYScZmEGY,34.0,122656.0
Less Teeth More Tits,1KTIiRdDDL1TDMKElzZ9je,32.0,188733.0
(I Want to Live on an) Abstract Plain,2bGW9TdzrATtZtHl4jGuHl,28.0,137760.0
Brand New Key,20KGZ4M94wfou9mkWvTMO2,28.0,172453.0
Dance with Me,5o8ckEsCQJsPSywz7KZJkV,31.0,159266.0
All The Love In The World,3sR4DlHGETLGfncj2PFqnI,49.0,211266.0
Playing My Piano,2WEyJPJT5yYf0ND1tYjGqN,33.0,156094.0
My Paradise,2WrL3s7u4m40yap7ui9RK9,39.0,216200.0
Whiskey Woman,7JCA5bnyl63Jd6YfiRoSHl,35.0,286840.0
This Is War 6,7jiIJLhboaQrPAHgY2LDrL,35.0,448484.0
All The Right Reasons,6s0HP7iEhQzUoniIzGpqZD,35.0,204186.0
Perfection - Remastered 2010,3ccHstKEStIOANQsaw078p,35.0,308600.0
If You Leave,4j3K2LLc8lnPlTOzpGjZ8v,36.0,290600.0
King For A Day - 2001 Remaster,7wBymwOuTrmb4ns4kaWyvT,33.0,217570.0
Minneapolis,3vZR5moYtrBx2fBoH1rHYa,30.0,230226.0
Where Is My Mind,2AsIm3Hr3GS4P4nntYSs2Q,35.0,260613.0
It Wouldn't Have Made Any Difference,00f5cJ88kjiyCLJebRHgAY,30.0,233800.0
You Wouldn't Like Me,5gLAzsggXSYANkyhByrPhj,31.0,212360.0
Weightless,58QKcx9p8Et10QIhi2Yjq8,29.0,212213.0
I Heard Ramona Sing,5IefcfH5fwxCGZImu5wpzL,28.0,220373.0
Da Vinci,18eR1w9NXigoppVRpdc4yk,33.0,245653.0
Beach Boys,2MW0ofGJTi9RfoCMPsfGrJ,32.0,231253.0
Kiss Me on the Bus,7b8BgGpMDmNjkOzfMfxCzi,30.0,173466.0
Favorite Thing,4OOdr4y9vFngVywhqn5hLZ,33.0,140013.0
DQ,6clIs8luQtsNHTPEjdwYNV,29.0,199400.0
Have Yourself A Merry Little Christmas,65I0jYQRiMNfiErE16Vq6q,31.0,315654.0
X Offender - Remastered,2Yn7a6j6jWq9xzQFP2myDS,37.0,194533.0
Denis - Remastered,3RIpoyYHjSTJtwoi5yHW1E,44.0,139087.0
Waiting for Somebody,3R6GxZEzCWDNnwo8QWeOw6,32.0,205200.0
Got It - Remastered,26u5qFgbFPphpINFMId852,33.0,136786.0
Sleep Talk,0YRi3Gq2kkqfuaZ2L4rynD,31.0,170586.0
Lying in the Sun,4qmcb1uWMuL80L8QtXwaOV,32.0,234106.0
Won't Be Home,5ioMZptcbpcFzAA0oiWlOZ,30.0,288560.0
She's Got Soul,6ZsocAcKcoCqtpwapvQYoB,34.0,143573.0
Should She Stay or Should She Go,2fxWF7s6TdyyLimiZkJpPa,34.0,215531.0
Midnight Wine,29ya2cQa0u96dSTctywzHI,33.0,198293.0
Blown to Bits,0NpezLdzfKGUoUINncvaqg,29.0,217893.0
Barrier Reef,7LDa61MEoQEeKKolxn4tgE,30.0,229146.0
Alright,0Ry8q3vTW38RgksBHVd7ZV,32.0,165992.0
Madonna Of The Wasps,2pRZG5wb6lDjVFjnnxz6sR,31.0,186066.0
Crimson Ship - Remastered 2010,1mJ0GZMe7woLYP4P8RYHbw,36.0,223466.0
Fly High Michelle,6wUR8lnkxuQUeHa0rJOolR,32.0,230826.0
Sludgefeast,3UjkBG3I1rs4GKvbqcJ8YP,34.0,317040.0
Numbers,4AZoTNP3naXZcyvLFveYhk,33.0,200551.0
Wind in Our Sail,6tZUOzi9p1j7stp8Y5OUoJ,32.0,173746.0
Denise,7Ijr2MeaWwyqXp48bSu1Cl,32.0,153666.0
Premonitory Dream,1XwBgVUPq6vbPgoumJMleT,31.0,186213.0
Accidents Will Happen,22x2y5gv5WLAR2L2bWTbUB,36.0,181720.0
Walk The End,6Vta21EMm0naRtSORnOr4X,34.0,247472.0
Public Domain,2GiIgyJtwPI8MufbswB5hR,33.0,134974.0
Records (feat. Noga Erez),0ZrZjd1zu5Cl4s4xXCUT6E,37.0,212067.0
Let's Do It Again,5TTkS20syAScXUX1UeH42f,32.0,60080.0
See A Little Light,7LdKMBKthcdBnAqlAIGqCB,32.0,212066.0
My Best Friend,1wwJYym3pzBEtIFKeeimdm,33.0,167866.0
Cautioners,7pyt9J4sp3cDgI0xkGrRiN,33.0,321306.0
Things,2RDVUW42IahtVvdeI9tcfN,31.0,202586.0
Things,2RDVUW42IahtVvdeI9tcfN,31.0,202586.0
Sunday Papers,5MRt5JfLp42Nvj5Gg2ZRwO,34.0,259466.0
Since I Held You,3FSnDLukaHpRQ6R08SF7TS,33.0,196800.0
I Need Some of That,1fDFIckfX373VPKvpIzFAl,34.0,199666.0
Pigs Is Pigs,6wOfwjT2TowI9OJEnd07Yw,32.0,116906.0
Another Day to Heal,5C3wvtSnd8WbhLNsx61K51,34.0,108626.0
Darling,4qspFwHsFN9cpkbOrwaR0b,31.0,250271.0
Union City Blue - Single Version,3a3JGuTQNYM3YawGpck7Ql,34.0,202230.0
