,ID,Popularity,Duration
Flowers,6Z165JvPnS8PYvGW8oLGLc,74.0,157373.0
Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,81.0,232893.0
Coast (feat. Anderson .Paak),1l4iQsOZ5sOXZPMQLvouaB,72.0,166720.0
Umbrella,2yPoXCs7BSIUrucMdK5PzV,66.0,275986.0
Complicated,5xEM5hIgJ1jjgcEBfpkt2F,75.0,244506.0
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,75.0,266600.0
Oh My God,3Kkjo3cT83cw09VJyrLNwX,78.0,225148.0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),6bNB5gxFX6Q87DbQWb8OWZ,79.0,202626.0
Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,80.0,199053.0
My Mind & Me,0XER3HPMx223xWaAgNKp4Y,76.0,147597.0
Hrs & Hrs,3ncmoWTwJgx63LwMTyBCXf,73.0,204316.0
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7LcfRTgAVTs5pQGEQgUEzN,68.0,201160.0
Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,72.0,258826.0
Into You,63y6xWR4gXz7bnUGOk8iI6,67.0,244453.0
Gives You Hell,6ihL9TjfRjadfEePzXXyVF,67.0,213106.0
i was all over her,7svpAkwc6xaSxlbZ7V7JiS,74.0,161462.0
Karma,2Fyjjpg03fn7n5cj0Qm380,72.0,188906.0
Kings & Queens,7a53HqqArd4b9NF4XAmlbI,77.0,162398.0
Island In The Sun,2MLHyLy5z5l5YRp7momlgw,74.0,200306.0
Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt,78.0,258431.0
Fireflies,3DamFFqW32WihKkTVlwTYQ,74.0,228346.0
Our Song,15DeqWWQB4dcEWzJg15VrN,67.0,201106.0
BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U,75.0,278281.0
Nice For What,3CA9pLiwRIGtUBiMjbZmRw,74.0,210746.0
Talk that Talk,0RDqNCRBGrSegk16Avfzuq,77.0,177466.0
Babydoll,7yNf9YjeO5JXUE3JEBgnYc,72.0,97960.0
DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,76.0,220800.0
Welcome to the Black Parade,5wQnmLuC1W7ATsArWACrgW,74.0,311106.0
abcdefu,4fouWK6XVHhzl78KzQ1UjL,81.0,168601.0
Temperature,0k2GOhqsrxDTAbFFSdNJjT,75.0,218573.0
Mistletoe,7xapw9Oy21WpfEcib2ErSA,75.0,182946.0
Like I'm Gonna Lose You (feat. John Legend),2YlZnw2ikdb837oKMKjBkW,75.0,225053.0
Zombie,7EZC6E7UjZe63f1jRmkWxt,78.0,306440.0
Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,77.0,242733.0
Been Away,5PvVkf1Yuq3XyMqqjPiKPd,71.0,223629.0
watch,7eB1V5LvAdxCc7brfGhRRo,75.0,177523.0
Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,73.0,270846.0
"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,71.0,203786.0
About Damn Time,6HMtHNpW6YPi1hrw9tgF8P,76.0,191937.0
34+35,6Im9k8u9iIzKMrmV7BWtlF,76.0,173710.0
PUNTO 40,2TDyyEBasw10wu5Uh94bR1,81.0,190654.0
Less Than Zero,2D4dV2KXDTszzJ3p3cFqhA,75.0,211814.0
"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,71.0,203786.0
Best Friend,3rPtS4nfpy7PsARctAWpzd,73.0,262231.0
Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,76.0,300106.0
Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,71.0,230693.0
Pretty Boy,7IL8PSVwLOJxqYne6azxQv,73.0,234093.0
NO,0l0CvurVUrr2w3Jj1hOVFc,79.0,213506.0
Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,77.0,219146.0
Marvins Room,047fCsbO4NdmwCBn8pcUXl,71.0,347226.0
Champagne Poetry,2HSmyk2qMN8WQjuGhaQgCk,72.0,336511.0
Consume (feat. Goon Des Garcons),0X2bh8NVQ8svDQIn2AdCbW,76.0,267920.0
The One That Got Away,6hkOqJ5mE093AQf2lbZnsG,70.0,227333.0
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,76.0,231240.0
Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,69.0,198266.0
Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,75.0,193733.0
Light Switch,1jEBSDN5vYViJQr78W7jr2,77.0,187703.0
Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,74.0,234493.0
Daydreaming,69w5X6uTrOaWM32IetSzvO,74.0,187342.0
It Wasn't Me,3WkibOpDF7cQ5xntM1epyf,75.0,227600.0
Like a Tattoo,4PEGwWH4tL6H7dGl4uVSPg,74.0,218000.0
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,67.0,246573.0
It Will Rain,0RUGuh2uSNFJpGMSsD1F5C,66.0,257720.0
I Like It,58q2HKrzhC3ozto2nDdN4z,74.0,253390.0
Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,73.0,229760.0
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,67.0,179640.0
Prom Queen,6MpCaSIOfqBqbMED4kXgNY,76.0,136562.0
Levitating,5WyN0QbtgLiTML391UfrRU,2.0,203807.0
We're Good,017RhjlOY1O3T137NE5wJI,1.0,165506.0
Levitating,2qcpGKGgJ6RFFvtyZQ1jfn,2.0,203807.0
Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz,72.0,249320.0
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,75.0,261492.0
Flaming Hot Cheetos,1F6IbA7di42uPc3cff8PXV,71.0,123884.0
Beggin',3Wrjm47oTz2sjIgck11l5e,81.0,211560.0
Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,77.0,206458.0
All I Want,0NlGoUyOJSuSHmngoibVAs,77.0,305746.0
In The Kitchen,2VFetGqLYq0Pc8ZtRYCaeL,71.0,227749.0
Replay,5vlEg2fT4cFWAqU5QptIpQ,69.0,182306.0
Bruises,4Of7rzpRpV1mWRbhp5rAqG,77.0,220492.0
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,78.0,235213.0
Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,73.0,143226.0
Cleopatra,2ToW7zhGCrVrLU4fiKj9U1,67.0,201413.0
Spread Thin,4MbzauKV2ydtZZjLsPcuTF,71.0,202519.0
The Morning,6u0dQik0aif7FQlrhycG1L,72.0,312426.0
The Way I Loved You (Taylor’s Version),22bPsP2jCgbLUvh82U0Z3M,76.0,243136.0
The Morning,6u0dQik0aif7FQlrhycG1L,72.0,312426.0
Goodie Bag,4vHNeBWDQpVCmGbaccrRzi,72.0,146390.0
Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,70.0,186826.0
ALIEN SUPERSTAR,1Hohk6AufHZOrrhMXZppax,75.0,215459.0
Sugar,2iuZJX9X9P0GKaE93xcPjk,78.0,235493.0
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,75.0,170769.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,81.0,169353.0
Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,76.0,279316.0
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,68.0,202496.0
More M’s,29YW2xXlo6Pc6M0SBTCXYN,73.0,221406.0
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,67.0,251840.0
Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,77.0,151444.0
Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,75.0,246960.0
Make You Feel My Love,5FgPwJ7Nh2FVmIXviKl2VF,70.0,212040.0
I Hate U,5dXWFMwD7I7zXsInONVl0H,73.0,174000.0
After LIKE,2gYj9lubBorOPIVWsTXugG,81.0,176973.0
Genesis,3cjvqsvvU80g7WJPMVh8iq,67.0,255320.0
Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,72.0,192470.0
Hurt,5expoVGQPvXuwBBFuNGqBd,77.0,177946.0
Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,75.0,267520.0
Only,4MRT0dDbhqFKl67WzhUbSw,67.0,312026.0
i'm yours sped up,4sFGNz4MYpGoz53ZGCwsiE,79.0,127780.0
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,73.0,267266.0
6 Foot 7 Foot,5Qy6a5KzM4XlRxsNcGYhgH,69.0,248586.0
Devil by the Window,53H3sGmqiXWO4MwuZAJfyn,76.0,186471.0
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,68.0,169026.0
Shut Down,0ARKW62l9uWIDYMZTUmJHF,76.0,175889.0
champagne problems,0sY6ZUTh4yoctD8VIXz339,74.0,244000.0
In The Stars,1ei3hzQmrgealgRKFxIcWn,79.0,216410.0
Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,74.0,257604.0
Question...?,0heeNYlwOGuUSe7TgUD27B,74.0,210556.0
Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,70.0,259333.0
Treasure,55h7vJchibLdUkxdlX3fK7,76.0,178560.0
Acquainted,7uJH0YdSZL6psjxI6Xy08b,73.0,348853.0
Brazil,4sNG6zQBmtq7M8aeeKJRMQ,76.0,252306.0
First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr,74.0,278640.0
