,ID,Popularity,Duration
Euphoria,2r8F0VYPom2XP4cKAzWLLE,60.0,228615.0
Circles,6rurduYegrf5XSZrphuyF2,60.0,239613.0
DOMINO - English Ver.,0b9YBfAcbnhVDUFmsfpDFj,55.0,198733.0
FIRST,021L6LlBBtr34BmFRHd9Ic,57.0,212280.0
HUSH RUSH,0P2LW3jbuJLpH2mwg0lLzn,58.0,207400.0
Hellevator,4iNXUjXMr6rVJxH7a7yvGq,57.0,239133.0
Flicker,3TgPwLFXV6GEIsDZANHktY,59.0,144370.0
Snap Shoot,1Yimn9plSAWNv9G3ePzITO,57.0,175826.0
Any,5S7kMbtEikXwCAHMu3R3jw,57.0,169140.0
풀어,2p980qlVXYLh3HdHusbhfa,53.0,211972.0
I'm Not Sorry,7AoK7YuZ5sQYtPofTFElIE,53.0,209095.0
Creme,3DR7shAbkNyqgZjYnHZLh2,52.0,156531.0
Gone,0tTotZHPsxyjW3jqNJ1td2,56.0,195000.0
Dumb Dumb,64iDjAuWDogVhuoWhKklF9,56.0,202543.0
Love Again,4dYODiAYvJHWQJtNganYCY,56.0,205293.0
March,5Av3flFGhQPu960OvjeNhm,59.0,196186.0
LONE RANGER,0R4axRx5Y4rwYY22UZhx2e,55.0,203680.0
IDOL,54azQnjuDYDFfImXimGFsA,59.0,260233.0
WOLFGANG,0aWEt5aMfU2zYxE1tg2efw,57.0,190865.0
Favorite Part,6zKX91EvxRHr42ZiZ5C9kN,54.0,98600.0
Dope,4o3Ao6wY5fbJR32fQKabfQ,61.0,240020.0
love,6wcRv0UBvEH9NCIA3IVyQs,53.0,258226.0
Riot Maker,6nU5YHmm88HuVfpegW74p7,49.0,331480.0
Into the I-LAND,18W2OWFsdGCjG7iA4iYpMw,61.0,217322.0
Ring The Alarm,6jUq2EfNMW7SizzNVVGvhm,58.0,185053.0
FAKE LOVE,3YspylwDrs1LuzPONbKmAL,61.0,242333.0
The Ring,1s9dHDYdTjQo1Ow8MoF9nV,54.0,240147.0
We don't talk together (Prod. by SUGA),6SG8lh7fWQ2bahP5WBYePn,60.0,199215.0
Baby Don’t Like It 나쁜 짓,7I2nbddpDYsAe6e4biIxEO,57.0,158919.0
Love Talk,6bc8VmlNt5S9WJlyw8bBdd,55.0,232694.0
Weekend,6cqH1q7g5GeRVQVMK1Vc7f,55.0,233413.0
I'm Not Cool,5iIpbD34k4wnuRMZDNnuWf,61.0,174173.0
TAIL,7muTXW7kGytN3zdomku6FV,57.0,190960.0
舞い落ちる花びら(Fallin' Flower),6MC0anRfGPzSWrvybgsY7O,57.0,212333.0
Haru Haru,1L4d2lafz1odpIMe8va21X,58.0,256359.0
The View,5FM1V3qjHroqsXRBbL57rW,57.0,201746.0
Same Scent,0eG3b2T3SXtPAhD9LLm8xA,57.0,192786.0
Layla,6nMN0skRJ95zgzRlJnRCJs,54.0,250013.0
Wishlist,4A6f3zMLDDAUgkGTLtpMc3,56.0,191788.0
Our Summer,22PEycypPsZpzlMxTgukiQ,56.0,210280.0
If You Call Me,1lh6n7jDkg2JYyYDmbT4RS,51.0,208733.0
REALLY REALLY,4iJyTp1KwCeBKhf7h0SwsD,59.0,203056.0
Love On The Floor,2qDEhEy3vSZYFVgWbRChzw,54.0,218280.0
Intro : Persona,2GXWzWPsYlTZcvVW8JIu69,57.0,171023.0
Overdose,5NSPsOGVNWYOMeeyZPF7HY,58.0,205611.0
Speedom (Wwc2),33MpATo5CCG2ennj6LAlYq,52.0,295306.0
Mixtape : OH,2afx8zfrOsN3QVEWSx5IPp,58.0,212480.0
Back 2 U (AM 01:27),37SqctQhMp3MjvGDXKhnJ3,58.0,235192.0
strawberry moon,2g0LdZQce9xlcHb1mBJyuz,61.0,205333.0
ROYAL,0LMdtBOxbVgrYoA4n0Vwvv,61.0,206226.0
"Wow (Lee Know, Hyunjin, Felix)",2i15lsdOIZb9PpuAFKO58Y,57.0,193811.0
You Calling My Name,6f4wghlwYWGLqGEIKc6HDQ,57.0,194707.0
Keep It Light,2BUP8KOWDlCsdEV8DJPQQn,53.0,203500.0
Designer,4axTxw4EXSVSGm6f6vxTdZ,52.0,237080.0
Adios,0sq2QUCf3ykmfYxjCDWcir,59.0,189146.0
Girl Front,5OnchRw2yAuIAwp2RYLCBa,52.0,196733.0
딱 좋아(Just right),4ER58qECydWokIsgqtysWu,57.0,222398.0
Hug,5ZQFP6rsYhNaFuQNaoTzgV,60.0,159111.0
The Leaders,52Sj1SUJ6FNceKLZVggVak,55.0,192217.0
HaPpY (HAN),2KHgPAJycXwbZ2S1xuUT9T,57.0,209573.0
SWIPE,5o0urLKhjQLIFMoJH5SSrY,59.0,177893.0
Brave,2peoFPokM6eYAIwLm9IQ8E,57.0,189200.0
sorry,2mqN6WJawRJzT2X9T5bdYV,59.0,215476.0
MIC Drop (feat. Desiigner) [Steve Aoki Remix],6XxpvCj3eLWs3lYowSgC4G,55.0,238726.0
PUMA,4dJThL3k5tMRdduAiARM4R,55.0,205519.0
FXXK IT,3lYvepDz6yYj29z7e4r5z0,58.0,231748.0
テレフォン・ナンバー,5SxrdeIHki6FmlsKj2m8mY,54.0,239013.0
Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,58.0,187457.0
Dear Sputnik,7ypFllJwlotXBJfLjsXhvo,57.0,194912.0
